node	KO
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00333
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00334
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00335
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00336
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00337
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00338
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00339
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00340
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00341
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00342
K00329-K00330-K00331-K00332-K00333-K00334-K00335-K00336-K00337-K00338-K00339-K00340-K00341-K00342-K00343	K00343
K00355	K00355
K00357	K00357
K00360	K00360
K00362-K00363	K00362
K00362-K00363	K00363
K00364	K00364
K00365	K00365
K00366	K00366
K00367	K00367
K00368	K00368
K00370-K00371-K00372-K00373-K00374	K00370
K00370-K00371-K00372-K00373-K00374	K00371
K00370-K00371-K00372-K00373-K00374	K00372
K00370-K00371-K00372-K00373-K00374	K00373
K00370-K00371-K00372-K00373-K00374	K00374
K00376	K00376
K00380-K00381	K00380
K00380-K00381	K00381
K00382	K00382
K00383	K00383
K00384	K00384
K00385	K00385
K00387	K00387
K00390	K00390
K00392	K00392
K00394-K00395	K00394
K00394-K00395	K00395
K00399	K00399
K00401-K00402	K00401
K00401-K00402	K00402
K00422	K00422
K00423	K00423
K00430	K00430
K00431	K00431
K00432	K00432
K00434	K00434
K00440-K00441-K00442-K00443	K00440
K00440-K00441-K00442-K00443	K00441
K00440-K00441-K00442-K00443	K00442
K00440-K00441-K00442-K00443	K00443
K00446	K00446
K00448-K00449	K00448
K00448-K00449	K00449
K00450	K00450
K00451	K00451
K00452	K00452
K00453	K00453
K00454	K00454
K00455	K00455
K00456	K00456
K00457	K00457
K00458	K00458
K00459	K00459
K00460	K00460
K00461	K00461
K00462	K00462
K00463	K00463
K00466	K00466
K00467	K00467
K00468	K00468
K00469	K00469
K00471	K00471
K00472	K00472
K00473	K00473
K00474	K00474
K00475	K00475
K00480	K00480
K00481	K00481
K00483-K00484	K00483
K00483-K00484	K00484
K00485	K00485
K00486	K00486
K00487	K00487
K00488	K00488
K00489	K00489
K00491	K00491
K00492	K00492
K00493	K00493
K00497	K00497
K00498	K00498
K00499	K00499
K00500	K00500
K00501	K00501
K00502	K00502
K00503	K00503
K00505	K00505
K00506	K00506
K00507	K00507
K00508	K00508
K00509	K00509
K00511	K00511
K00512	K00512
K00513	K00513
K00514	K00514
K00515	K00515
K00517	K00517
K00523	K00523
K00524-K00525-K00526	K00524
